manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1001/jama.293.12.1450-c	doi:10.1001/jama.293.12.1450-c	doi:10.1001/jama.293.12.1450-c	18yiOVr39
doi:10.1002/ijc.26376	doi:10.1002/ijc.26376	doi:10.1002/ijc.26376	cRoyxlfx
doi:10/drbb	doi:10/drbb	doi:10.1007/978-3-319-21416-0	oirgcbj3
doi:10/db42m2	doi:10/db42m2	doi:10.1016/s0065-308x(07)65001-5	BwRDGiQB
doi:10/ggnxb3	doi:10/ggnxb3	doi:10.1016/s0140-6736(20)30566-3	10THxyeCg
doi:10.1038/nm860	doi:10.1038/nm860	doi:10.1038/nm860	Cv4dHirC
doi:10.1093/infdis/133.3.329	doi:10.1093/infdis/133.3.329	doi:10.1093/infdis/133.3.329	3BxRla9h
doi:10.1101/2020.03.11.20031096	doi:10.1101/2020.03.11.20031096	doi:10.1101/2020.03.11.20031096	1DbV444Pj
doi:10.1111/j.1537-2995.2004.03338.x	doi:10.1111/j.1537-2995.2004.03338.x	doi:10.1111/j.1537-2995.2004.03338.x	sSNY0MJ9
doi:10.1126/science.8018146	doi:10.1126/science.8018146	doi:10.1126/science.8018146	gRvptytE
doi:10.1136/bmjopen-2017-018476	doi:10.1136/bmjopen-2017-018476	doi:10.1136/bmjopen-2017-018476	k1AiiHPq
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
url:https://www1.nyc.gov/site/doh/covid/covid-19-data.page	url:https://www1.nyc.gov/site/doh/covid/covid-19-data.page	url:https://www1.nyc.gov/site/doh/covid/covid-19-data.page	LSRyVwrE
url:who_sit_rep	url:who_sit_rep	url:who_sit_rep	MDWlwuhC
